ID;Bytes;SHA256;ArchivePath
sign-21;1199725;d4433c4960f2d87114b60f61f7781bf718a24c0adfb72c8bc8882f5889aa5b38;sign-21/Algorithm specifications/Algorithm specifications.pdf
sign-22;840076;b1d6f86e7b2ce58a54e3078396c0df2283c59ae7773b3513580a19a8cb3c9ae3;sign-22/Basic information.pdf
sign-23;1019287;881145de9832bc55cc5a27a61fff2a213c625c20c2c1ada60c32825ad8a95893;sign-23/Algorithm specifications/Shuttle 算法设计文档（V4）.pdf
sign-24;599661;70aeb12841582857947e4bef3766a34b1013f6d63dce2d5184b7a04b67dfb974;sign-24/Algorithm specifications.pdf
sign-25;1206964;598139da24c326890600ced289c41e621e7df5f1612ef3c1c699e620e33fb1ec;sign-25/Algorithm specifications/SQISign2D2 Algorithm specifications.pdf
sign-26;817378;1363945ff198e9ca48e7a7dbe39d488c590580d746c56b7f10e30d51f86059f6;sign-26/Algorithm specifications/算法本文.pdf
sign-27;368496;e9376de36257c2f4d1dcbb4864feb2849835fba7331b2e3dc8daae00fbe3d98c;sign-27/Algorithm specifications/Algorithm specifications.pdf
sign-28;1072458;6638dd2b9fb696128f655c9da93fcf4c329925c83a599e3604adbf26af0f37ab;sign-28/Algorithm specifications/2-Algorithm specifications.pdf
sign-29;558712;8af6eb9bbb5dbd09ff3538b359657c7f42d190bab05ac7eaa2889cffe0aa8b13;sign-29/Algorithm specifications/tins.pdf
sign-30;393425;dbd62aefe11d21091e9e04f387b9918aff1e63a1b9bde009387840aa33728259;sign-30/Algorithm specifications.pdf
sign-31;465807;17b2cb0d43a3f45c59fe79f2819bb6dcdc988fdc1a9776a40054d27761f5697a;sign-31/Algorithm specifications.pdf
sign-32;401698;e4e28d0dfaa84c1c8d0494b73abfee7de78bfde31adfa521f532f797eb77992c;sign-32/Algorithm specifications/UVW Signature Scheme.pdf
sign-33;690449;eb22504626a5d02191b7790061de0ffa499eeb6b1d19d99cf5b87d3e28696ab0;sign-33/Specification/VDOO-Specifications.pdf
sign-34;1039489;30242db5485dd4284b360d5bd6d126a63df985154e10fafb70f5773e0d7a3e47;sign-34/Algorithm specifications.pdf
kem-01;1319314;27e4b81bedaffa1a57cc2e2fe9518f3ddefcbdaa6a883463caf8a88196c43ceb;kem-01/Algorithm specifications/02-算法文本：Aigis-Enc+.pdf
kem-02;605386;ffca61c5470298f3a173b76a8ead43299a04d990b0bbb913397f910285d4d247;kem-02/Algorithm specifications/Algorithm specifications.pdf
kem-03;458719;f72e55878826e6ff36d99ec0d9422cd34c568fafdd5dc560ea2fa222e4c47276;kem-03/Algorithm specifications/Algorithm specifications.pdf
kem-04;214927;f38c754a6609d5f23024452b505fd85b8a6c05eb2932a42c17b19a98f17b00d6;kem-04/Algorithm specifications/Algorithm specifications.pdf
kem-05;1429220;f3d1145190beef22e065bdefaf32a48a26ef03a4822a4b3d45e0703ffb871479;kem-05/Algorithm specifications/BIKE_MLThre.pdf
kem-06;302300;518571ac0ff1875580d82ee37a9b4923099a5c88294a5e9c5082bf92f435e75a;kem-06/Algorithm specifications/BRA-Documentation.pdf
kem-07;295302;b8bb52c2386ae1418200ff6c0c164bc61af81409057633223889ebf185be549c;kem-07/Algorithm specifications/BRQC-Documentation.pdf
kem-08;964640;1e052730d0c4f1578c46f23abd37f4adbb32b988b914054077ea551817d5383b;kem-08/Algorithm specifications/Algorithm specifications.pdf
kem-09;400391;add344a14702806e5c31b425039c0bed354ae073c18bd4c8686821595bdfcc6a;kem-09/Algorithm specifications/cheetah_kem_en.pdf
kem-10;534453;0403360e812a6fea88cc35f2ad38594fbd943c7835a5c05cde86e1afacb0d365;kem-10/Algorithm specifications/C-Multi-UR-AG-Documentation.pdf
kem-11;430484;40a280535ac4ef6bc698540893fb3cb210a70866e25112d15e7c6c0355b03572;kem-11/Algorithm specifications/COMPASS-KEM算法文本(en).pdf
kem-12;1287538;4c238acfde7488d52fa73a00116c414a8440ce11190f9e9c651ce10f7a754b9a;kem-12/Algorithm specifications/逐光算法文本-英文.pdf
kem-13;445958;48f99e665f81162e2f6c0f1233a1b6d5a74d06c04a84880009ddbeb1e8c6e396;kem-13/Algorithm specifications/DKEM-PKCKEM-380333-Algorithm Specification.pdf
kem-14;525655;f4eeb4a34df64cfde756bfe71e938279f60214245e84e2664665eb446e33e8a5;kem-14/Algorithm specifications/Algorithm specifications.pdf
kem-15;466891;47e1fee04a6e766174245f656ca49ea6b566aacbe2bd7f16daf1942f0400b13b;kem-15/Algorithm specifications/Algorithm specification.pdf
kem-16;543023;a2242e0dbfcfbf101629e49f75f7b12866f7a3186384adb3642da7f95e5122a9;kem-16/Algorithm specifications/HARE算法文档.pdf
kem-17;598486;ebfdf7a5e695d3320b521bf4aa7149bb79ba9c6e25e860f431b90c67b02823f8;kem-17/Algorithm specifications/算法文本.pdf
kem-18;496701;d8a66fd551ccb1edd911352c73df462b0bcf8720ba58ac8a3542f59ef45538dd;kem-18/Algorithm specifications/loong_kem_en.pdf
kem-19;503433;185adb545b785ef6805a64aa9c70e1e68aca4dd705aebc8e11c3c302987e0b48;kem-19/Algorithm specifications/Lore算法文本.pdf
kem-20;1004209;2dec9ef65180e7fbbaa90315124fe8dc055dffa34b86e45c33c2782bbd7ca020;kem-20/Algorithm specifications/MAMBA_Frost_Doc.pdf
kem-21;991813;020064eb0845d860be1f7911637f9a9e3e11b7378285189668563cc04f22c004;kem-21/Algorithm specifications/MAMBA_Viper_Doc.pdf
kem-22;856146;38456688b3cf48cc5aad111498a532df4f7001c04c7a4b63d9eed588c057abce;kem-22/Algorithm specifications/Mithril.pdf
kem-23;708682;3cebe02a77c5ed7bd9ebf86a3b493d1f71ca630ef746570910ce775998392a5c;kem-23/Algorithm specifications/Algorithm Specification.pdf
kem-24;499637;e4c1e414687c69e8a6b68ac0f2acd063378ff9883b9ddc15f122157b49897f4d;kem-24/Algorithm specifications/scabbard.pdf
kem-25;1401690;ca0cece798971b08609d86df9ee7c514d8c99caf0f5f330d8667fce863bcd44a;kem-25/Algorithm specifications/算法文本：NEV.pdf
kem-26;523526;e993a0ad7b87be444a0a2381c98eb8ffe9fa75d53f34e5141add21a1c5ef2dde;kem-26/Algorithm specifications/NSS-HQC算法文本.pdf
kem-27;338300;af7a09a5633b494a67347bf518babf1f03ed90786e7d075a25869edd575a0003;kem-27/Algorithm specifications/NTRE.KEM-Documentation.pdf
kem-28;392417;cde9de6e14fad324e5133b196a40e00ef394806d06e4101da42de79f8f0689b6;kem-28/Algorithm specifications/2算法文本（OAEP-NTRU）.pdf
kem-29;252705;7234eb7b8e71a38a97d0f6f637aa3e72d6363faad6affde77d574124b8ba6e78;kem-29/Submission_Package/Algorithm_Text/polarkem-spec.pdf
kem-30;1355275;aba16100f0e5c49d54e1811c672d90c4d837200116e5a312625f8473b6d40eca;kem-30/Algorithm specifications/算法文本.pdf
kem-31;1578178;fffc590f932655b26dd6e8affbd2dfa65238c9d874922f5f8665352539d43f94;kem-31/Algorithm specifications/2-算法文本(英文) .pdf
kem-32;599405;dec99d7b20f338bddd2049d95b64db91704a52f1e5aa8ca7083060858550e330;kem-32/Algorithm specifications/Algorithm_Text_en.pdf
kem-33;652048;c56c14e58dba6065beb555cfe71f046061d912bed3a8b521389d0c09807b9f48;kem-33/Algorithm specifications/Algorithm specifications.pdf
kem-34;482040;f1f8fd50fcc49e71d34ade4f42b0c6cf3355eba16fb9d7f2594bd157f63c2acb;kem-34/Algorithm specifications/rudraksh2.pdf
kem-35;339791;4e0af1cdadb13ec91e111f0d237e56fc31c5e9f9f7b093e25c45cb0666c02da9;kem-35/Algorithm specifications/Scloud+算法文本.pdf
kem-36;970800;9258ff7264bb3bb78c02da0bf4b915f7087c8711a8ccd67e1d14a1ac2b32b407;kem-36/Algorithm specifications/TRIKE算法文档.pdf
kem-37;915349;6ee698b0a37243ffc334bbc44c19bbcb1b818fe33cf62d02f85a5ac7f1568fd1;kem-37/Algorithm specifications/Algorithm specifications.pdf
kem-38;374528;70e1e62f41ead04e9a74eddd851b4fcd05cf2afe3f5667590f2f89062f011356;kem-38/Algorithm specifications/UVW-KEM.pdf
kem-39;680921;d9fa03f683dfc65656a3e12606d1d0094c92bf8010eed807a1c6fc05b10b21af;kem-39/Algorithm specifications/Weaver算法设计说明书.pdf
