ID;Type;Algorithm;Instance;Variant;SourceDirectory;PublicKeyBytes;SecretKeyBytes;CiphertextBytes;SharedSecretBytes;SignatureBytes;Passes;InitiatorStateBytes;ResponderStateBytes;TotalMessageBytes;DigestBits;DigestBytes
hash-30;hash;ZC-DM;ZC-DM-1280-1024;Reference_Implementation;ZC-DM/Implementations/Implementations/Reference_Implementation/ZC-DM-1280-1024;;;;;;;;;;1024;128
hash-30;hash;ZC-DM;ZC-DM-1280-512;Reference_Implementation;ZC-DM/Implementations/Implementations/Reference_Implementation/ZC-DM-1280-512;;;;;;;;;;512;64
hash-30;hash;ZC-DM;ZC-DM-1280-768;Reference_Implementation;ZC-DM/Implementations/Implementations/Reference_Implementation/ZC-DM-1280-768;;;;;;;;;;768;96
hash-30;hash;ZC-DM;ZC-DM-1536-1024;Reference_Implementation;ZC-DM/Implementations/Implementations/Reference_Implementation/ZC-DM-1536-1024;;;;;;;;;;1024;128
hash-30;hash;ZC-DM;ZC-DM-1536-512;Reference_Implementation;ZC-DM/Implementations/Implementations/Reference_Implementation/ZC-DM-1536-512;;;;;;;;;;512;64
hash-30;hash;ZC-DM;ZC-DM-1536-768;Reference_Implementation;ZC-DM/Implementations/Implementations/Reference_Implementation/ZC-DM-1536-768;;;;;;;;;;768;96
hash-31;hash;ZC-DMC;ZC-DMC-1280-1024;Reference_Implementation;ZC-DMC/Implementations/Implementations/Reference_Implementation/ZC-DMC-1280-1024;;;;;;;;;;1024;128
hash-31;hash;ZC-DMC;ZC-DMC-1280-512;Reference_Implementation;ZC-DMC/Implementations/Implementations/Reference_Implementation/ZC-DMC-1280-512;;;;;;;;;;512;64
hash-31;hash;ZC-DMC;ZC-DMC-1280-768;Reference_Implementation;ZC-DMC/Implementations/Implementations/Reference_Implementation/ZC-DMC-1280-768;;;;;;;;;;768;96
hash-31;hash;ZC-DMC;ZC-DMC-1536-1024;Reference_Implementation;ZC-DMC/Implementations/Implementations/Reference_Implementation/ZC-DMC-1536-1024;;;;;;;;;;1024;128
hash-31;hash;ZC-DMC;ZC-DMC-1536-512;Reference_Implementation;ZC-DMC/Implementations/Implementations/Reference_Implementation/ZC-DMC-1536-512;;;;;;;;;;512;64
hash-31;hash;ZC-DMC;ZC-DMC-1536-768;Reference_Implementation;ZC-DMC/Implementations/Implementations/Reference_Implementation/ZC-DMC-1536-768;;;;;;;;;;768;96
hash-32;hash;ZC-EDMC;ZC-EDMC-1280-1024;Reference_Implementation;ZC-EDMC/Implementations/Implementations/Reference_Implementation/ZC-EDMC-1280-1024;;;;;;;;;;1024;128
hash-32;hash;ZC-EDMC;ZC-EDMC-1280-512;Reference_Implementation;ZC-EDMC/Implementations/Implementations/Reference_Implementation/ZC-EDMC-1280-512;;;;;;;;;;512;64
hash-32;hash;ZC-EDMC;ZC-EDMC-1280-768;Reference_Implementation;ZC-EDMC/Implementations/Implementations/Reference_Implementation/ZC-EDMC-1280-768;;;;;;;;;;768;96
hash-32;hash;ZC-EDMC;ZC-EDMC-1536-1024;Reference_Implementation;ZC-EDMC/Implementations/Implementations/Reference_Implementation/ZC-EDMC-1536-1024;;;;;;;;;;1024;128
hash-32;hash;ZC-EDMC;ZC-EDMC-1536-512;Reference_Implementation;ZC-EDMC/Implementations/Implementations/Reference_Implementation/ZC-EDMC-1536-512;;;;;;;;;;512;64
hash-32;hash;ZC-EDMC;ZC-EDMC-1536-768;Reference_Implementation;ZC-EDMC/Implementations/Implementations/Reference_Implementation/ZC-EDMC-1536-768;;;;;;;;;;768;96
hash-33;hash;Thunder;Thunder-1024;Reference_Implementation;Thunder/Implementations and Test_vector/Thunder-X86/Implementations/Reference_Implementation/Thunder-1024;;;;;;;;;;1024;128
hash-33;hash;Thunder;Thunder-512;Reference_Implementation;Thunder/Implementations and Test_vector/Thunder-X86/Implementations/Reference_Implementation/Thunder-512;;;;;;;;;;512;64
hash-33;hash;Thunder;Thunder-768;Reference_Implementation;Thunder/Implementations and Test_vector/Thunder-X86/Implementations/Reference_Implementation/Thunder-768;;;;;;;;;;768;96
hash-33;hash;Thunder;Thunder-XOF-256;Reference_Implementation;Thunder/Implementations and Test_vector/Thunder-X86/Implementations/Reference_Implementation/Thunder-XOF-256;;;;;;;;;;1280;160
hash-33;hash;Thunder;Thunder-XOF-384;Reference_Implementation;Thunder/Implementations and Test_vector/Thunder-X86/Implementations/Reference_Implementation/Thunder-XOF-384;;;;;;;;;;1152;144
hash-33;hash;Thunder;Thunder-XOF-512;Reference_Implementation;Thunder/Implementations and Test_vector/Thunder-X86/Implementations/Reference_Implementation/Thunder-XOF-512;;;;;;;;;;1024;128
hash-34;hash;WChain;WChain-V1-512;Reference_Implementation;WChain/Implementations and Test_Vectors/Implementations/Reference_Implementation/WChain-V1-512;;;;;;;;;;512;64
hash-34;hash;WChain;WChain-V2-1024;Reference_Implementation;WChain/Implementations and Test_Vectors/Implementations/Reference_Implementation/WChain-V2-1024;;;;;;;;;;1024;128
hash-35;hash;Wish;Wish1024;Reference_Implementation;Wish/Implementations/Reference_Implementation/Wish1024_reference;;;;;;;;;;1024;128
hash-35;hash;Wish;Wish512;Reference_Implementation;Wish/Implementations/Reference_Implementation/Wish512_reference;;;;;;;;;;512;64
kem-01;kem;Aigis-Enc+;Aigis-enc1;Reference_Implementation;Implementations/Reference_Implementation/Aigis-Enc+-I;656;1456;896;16;;;;;;;
kem-01;kem;Aigis-Enc+;Aigis-enc2;Reference_Implementation;Implementations/Reference_Implementation/Aigis-Enc+-II;1312;2912;1664;32;;;;;;;
kem-01;kem;Aigis-Enc+;Aigis-enc3;Reference_Implementation;Implementations/Reference_Implementation/Aigis-Enc+-III;2624;5824;3584;64;;;;;;;
kem-02;kem;Amoeba;Amoeba128;Reference_Implementation;Implementations/Reference_Implementation/Amoeba-576/src;784;1712;1047;64;;;;;;;
kem-02;kem;Amoeba;Amoeba192;Reference_Implementation;Implementations/Reference_Implementation/Amoeba-864/src;1144;2504;1581;64;;;;;;;
kem-02;kem;Amoeba;Amoeba256;Reference_Implementation;Implementations/Reference_Implementation/Amoeba-1152/src;1648;3440;1833;64;;;;;;;
kem-02;kem;Amoeba;Amoeba384;Reference_Implementation;Implementations/Reference_Implementation/Amoeba-1728/src;2440;5096;2769;64;;;;;;;
kem-02;kem;Amoeba;Amoeba512;Reference_Implementation;Implementations/Reference_Implementation/Amoeba-2304/src;3520;7040;3914;64;;;;;;;
kem-03;kem;BAG-Loong;BAG-Loong-128;Reference_Implementation;Implementations/Reference_Implementation/Loong-Block-ms-128;2500;5064;3071;16;;;;;;;
kem-03;kem;BAG-Loong;BAG-Loong-256;Reference_Implementation;Implementations/Reference_Implementation/Loong-Block-ms-256;6597;13258;8400;32;;;;;;;
kem-03;kem;BAG-Loong;BAG-Loong-384;Reference_Implementation;Implementations/Reference_Implementation/Loong-Block-ms-384;12152;24368;15112;48;;;;;;;
kem-03;kem;BAG-Loong;BAG-Loong-512;Reference_Implementation;Implementations/Reference_Implementation/Loong-Block-ms-512;19043;38150;21660;64;;;;;;;
kem-04;kem;BAG-Piglet;bag_piglet_128;Reference_Implementation;Implementations/Reference_Implementation/bag_piglet128;522;16;1027;16;;;;;;;
kem-04;kem;BAG-Piglet;bag_piglet_256;Reference_Implementation;Implementations/Reference_Implementation/bag_piglet256;1573;32;3097;32;;;;;;;
kem-04;kem;BAG-Piglet;bag_piglet_384;Reference_Implementation;Implementations/Reference_Implementation/bag_piglet384;2778;48;5475;48;;;;;;;
kem-04;kem;BAG-Piglet;bag_piglet_512;Reference_Implementation;Implementations/Reference_Implementation/bag_piglet512;4158;64;8204;64;;;;;;;
kem-05;kem;BIKE-MLThre;BIKE_v2_128;Reference_Implementation;Implementations/reference;1541;3114;1573;32;;;;;;;
kem-05;kem;BIKE-MLThre;BIKE_v2_256;Reference_Implementation;Implementations/reference;5122;10276;5154;32;;;;;;;
kem-05;kem;BIKE-MLThre;BIKE_v2_512;Reference_Implementation;Implementations/reference;18751;37566;18815;64;;;;;;;
kem-06;kem;BRA;BRA-128;Reference_Implementation;Implementations/Reference_Implementation/BRA-128;1078;1176;2092;64;;;;;;;
kem-06;kem;BRA;BRA-256;Reference_Implementation;Implementations/Reference_Implementation/BRA-256;1735;1841;3406;64;;;;;;;
kem-06;kem;BRA;BRA-512;Reference_Implementation;Implementations/Reference_Implementation/BRA-512;3573;3717;7082;64;;;;;;;
kem-07;kem;BRQC;BRQC-128;Reference_Implementation;Implementations/Reference_Implementation/BRQC-128;1954;2066;3844;64;;;;;;;
kem-07;kem;BRQC;BRQC-256;Reference_Implementation;Implementations/Reference_Implementation/BRQC-256;3345;3471;6626;64;;;;;;;
kem-07;kem;BRQC;BRQC-512;Reference_Implementation;Implementations/Reference_Implementation/BRQC-512;6562;6712;13060;64;;;;;;;
kem-08;kem;BW-KEM;BW_KEM_C128;Reference_Implementation;Implementations/Reference_Implementation/BW_KEM_C128;784;1585;768;16;;;;;;;
kem-08;kem;BW-KEM;BW_KEM_C256;Reference_Implementation;Implementations/Reference_Implementation/BW_KEM_C256;1568;3169;1440;32;;;;;;;
kem-08;kem;BW-KEM;BW_KEM_C512;Reference_Implementation;Implementations/Reference_Implementation/BW_KEM_C512;3136;6337;2944;64;;;;;;;
kem-09;kem;CheetahKEM;Cheetah128;Reference_Implementation;Implementations/Reference_Implementation/Cheetah128;832;1936;864;16;;;;;;;
kem-09;kem;CheetahKEM;Cheetah256;Reference_Implementation;Implementations/Reference_Implementation/Cheetah256;1648;3808;1728;32;;;;;;;
kem-09;kem;CheetahKEM;Cheetah384;Reference_Implementation;Implementations/Reference_Implementation/Cheetah384;2704;5920;2832;48;;;;;;;
kem-09;kem;CheetahKEM;Cheetah512;Reference_Implementation;Implementations/Reference_Implementation/Cheetah512;3600;7872;4032;64;;;;;;;
kem-10;kem;C-Multi-UR-AG;CMultiURAG-128;Reference_Implementation;Implementations/Reference_Implementation/CMultiURAG-128;3866;3960;7332;64;;;;;;;
kem-10;kem;C-Multi-UR-AG;CMultiURAG-256;Reference_Implementation;Implementations/Reference_Implementation/CMultiURAG-256;10780;10892;15304;64;;;;;;;
kem-10;kem;C-Multi-UR-AG;CMultiURAG-512;Reference_Implementation;Implementations/Reference_Implementation/CMultiURAG-512;28866;29021;40926;64;;;;;;;
kem-11;kem;COMPASS-KEM;COMPASS-KEM-128;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/COMPASS-KEM-128;672;1504;768;32;;;;;;;
kem-11;kem;COMPASS-KEM;COMPASS-KEM-256;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/COMPASS-KEM-256;1312;2912;1472;32;;;;;;;
kem-11;kem;COMPASS-KEM;COMPASS-KEM-384;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/COMPASS-KEM-384;2144;4704;2432;32;;;;;;;
